input,mode,class,operation,ashlar_ns,jpeg_decoder_ns,zune_ns,ashlar_error,jpeg_decoder_error,zune_error,fastest
"repo/grayscale_8x8",gray,bounded_full_frame,inspect,577,5328,20710,"","","",ashlar
"repo/grayscale_8x8",gray,bounded_full_frame,decode_gray,5018,27888,27532,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,inspect,832,10116,44770,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,decode_rgb,30814,83543,95292,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,wsi_region_rgb,31660,85780,95108,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,wsi_scaled_rgb_q4,12750,83489,95026,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,wsi_scaled_rgb_q8,9536,84177,94432,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,wsi_region_scaled_rgb_q4,12901,84458,95880,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,wsi_region_scaled_rgb_q8,9083,85421,96557,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,wsi_tile_batch_scaled_rgb_q4,1217542,5388959,6101833,"","","",ashlar
"repo/baseline_420_16x16",rgb,bounded_full_frame,wsi_tile_batch_region_scaled_rgb_q4,1253166,5420875,6115292,"","","",ashlar
